# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.2450000000e+03	8.3566924040e+00	3.0376327150e+03	1.7794652999e-04	1.0982233900e+00
6.2450000000e+03	8.8377486381e+00	3.0812577815e+03	2.2837264324e-04	1.0574382850e+00
6.2500000000e+03	7.4530606076e+00	2.9509104370e+03	9.3375910009e-02	9.3736436650e-01
6.2500000000e+03	7.9481298122e+00	2.9940794265e+03	8.7296533737e-02	9.4571013100e-01
6.2500000000e+03	8.3569456126e+00	3.0368745425e+03	2.2006538547e-04	1.0024396575e+00
6.2500000000e+03	8.8376936130e+00	3.0812586500e+03	1.6715165939e-04	1.0621048750e+00
6.2550000000e+03	7.4556195680e+00	2.9510977055e+03	3.5062027872e-04	9.9659946500e-01
6.2550000000e+03	7.9523687191e+00	2.9941646315e+03	2.6952395222e-04	9.0009635250e-01
6.2550000000e+03	8.3593262853e+00	3.0375775145e+03	2.7634842341e-04	1.0785906800e+00
6.2550000000e+03	8.8433580407e+00	3.0812578995e+03	1.4314012939e-04	1.0613594950e+00
6.2600000000e+03	7.4629238579e+00	2.9515101430e+03	3.2296768934e-04	1.0072719965e+00
6.2600000000e+03	7.9542859222e+00	2.9946667730e+03	2.6252213339e-04	8.9812812500e-01
6.2600000000e+03	8.3648621532e+00	3.0384024665e+03	1.6715165939e-04	1.0556077950e+00
6.2600000000e+03	8.8463156503e+00	3.0818148450e+03	2.0243071230e-04	1.1830829750e+00
6.2650000000e+03	7.4649159809e+00	2.9521574630e+03	4.6881993090e-04	1.0407471650e+00
6.2650000000e+03	7.9601151070e+00	2.9949904835e+03	2.8628025878e-04	9.0602251300e-01
6.2650000000e+03	8.3656758315e+00	3.0387260015e+03	2.2006538547e-04	1.0266267250e+00
6.2650000000e+03	8.8577226359e+00	3.0821734205e+03	1.4314012939e-04	1.0508781400e+00
6.2700000000e+03	7.4728610904e+00	2.9517781685e+03	2.2837264324e-04	1.0272641150e+00
6.2700000000e+03	7.9693372271e+00	2.9951697030e+03	2.7634842341e-04	9.5351279600e-01
6.2700000000e+03	8.3701639754e+00	3.0389951020e+03	2.2837264324e-04	1.0568351650e+00
6.2700000000e+03	8.8540049106e+00	3.0818843990e+03	2.4029565045e-04	9.4509167350e-01
6.2750000000e+03	7.4771101250e+00	2.9525148665e+03	3.3707766776e-04	1.0087953590e+00
6.2750000000e+03	7.9727202779e+00	2.9958164565e+03	2.4029565045e-04	9.8955236500e-01
6.2750000000e+03	8.3713681121e+00	3.0395518550e+03	1.9301011109e-04	1.0647983150e+00
6.2750000000e+03	8.8554144939e+00	3.0829098710e+03	2.0698028513e-04	1.0316111150e+00
6.2800000000e+03	7.4806902009e+00	2.9526936335e+03	3.4255896485e-04	1.0055681875e+00
6.2800000000e+03	7.9730335226e+00	2.9962847085e+03	1.5560972637e-04	1.0272491050e+00
6.2800000000e+03	8.3744418495e+00	3.0395514225e+03	1.6715165939e-04	1.0758446500e+00
6.2800000000e+03	8.8572410433e+00	3.0829097150e+03	2.4029565045e-04	1.0411457650e+00
6.2850000000e+03	7.4856090006e+00	2.9530727580e+03	4.2724609375e-04	1.0476670350e+00
6.2850000000e+03	7.9763384227e+00	2.9962837340e+03	2.0243071230e-04	1.0478946400e+00
6.2850000000e+03	8.3778538831e+00	3.0404890080e+03	1.8310546875e-04	1.1717073950e+00
6.2850000000e+03	8.8597936984e+00	3.0831782950e+03	2.6252213339e-04	9.8862763950e-01
6.2900000000e+03	7.4872103238e+00	2.9542549285e+03	4.6080532442e-04	9.8518364650e-01
6.2900000000e+03	7.9876226833e+00	2.9962636650e+03	2.6952395222e-04	8.8786510150e-01
6.2900000000e+03	8.3767705808e+00	3.0407569405e+03	1.8812298593e-04	1.1553790450e+00
6.2900000000e+03	8.8684535584e+00	3.0832677930e+03	3.8116442861e-04	9.8149924550e-01
6.2950000000e+03	7.4944514205e+00	2.9538073420e+03	3.0210861013e-04	1.0250927600e+00
6.2950000000e+03	7.9928667619e+00	2.9972882795e+03	2.3638814369e-04	9.7487107800e-01
6.2950000000e+03	8.3822364912e+00	3.0408447685e+03	2.0698028513e-04	1.1385232250e+00
6.2950000000e+03	8.8712764354e+00	3.0838239535e+03	1.9777651057e-04	9.9069121450e-01
6.3000000000e+03	7.5014039952e+00	2.9543438625e+03	3.7376247296e-04	9.6233434100e-01
6.3000000000e+03	7.9960246943e+00	2.9977650640e+03	2.6912005475e-02	1.0363731615e+00
6.3000000000e+03	8.3873040240e+00	3.0416350460e+03	1.8812298593e-04	1.1545422650e+00
6.3000000000e+03	8.8761786960e+00	3.0851373725e+03	2.2006538547e-04	1.2301104900e+00
6.3050000000e+03	7.5064051498e+00	2.9543446475e+03	3.6108885395e-04	9.8647379750e-01
6.3050000000e+03	7.9994566657e+00	2.9979721280e+03	7.1799099797e-02	1.0036625220e+00
6.3050000000e+03	8.3883038040e+00	3.0414370800e+03	1.7263349150e-04	1.0808805800e+00
6.3050000000e+03	8.8758453153e+00	3.0849395560e+03	1.5560972637e-04	1.0229093400e+00
6.3100000000e+03	7.5093050597e+00	2.9547019590e+03	3.5062027872e-04	9.2763147950e-01
6.3100000000e+03	8.0050655642e+00	2.9981146275e+03	2.4414062500e-04	9.4156822450e-01
6.3100000000e+03	8.3917185447e+00	3.0417056260e+03	2.1143198335e-04	1.0200006100e+00
6.3100000000e+03	8.8800000794e+00	3.0851179100e+03	2.2425748378e-04	1.0248585700e+00
6.3150000000e+03	7.5131429084e+00	2.9547018800e+03	3.9081568832e-04	9.3519774750e-01
6.3150000000e+03	8.0062737490e+00	2.9988510460e+03	3.5062027872e-04	8.9313040550e-01
6.3150000000e+03	8.3942379286e+00	3.0417051365e+03	2.1579186438e-04	1.0589226650e+00
6.3150000000e+03	8.8831535262e+00	3.0849186700e+03	2.2006538547e-04	9.0743110700e-01
6.3200000000e+03	7.5222431409e+00	2.9557271290e+03	4.2724609375e-04	9.4991622150e-01
6.3200000000e+03	8.0102419407e+00	2.9989642055e+03	8.4495695644e-02	1.1069046155e+00
6.3200000000e+03	8.3915900838e+00	3.0427290095e+03	2.2837264324e-04	1.0553710550e+00
6.3200000000e+03	8.8883053179e+00	3.0859976275e+03	1.8310546875e-04	1.0216392300e+00
6.3250000000e+03	7.5219464169e+00	2.9561063855e+03	2.5895023725e-04	1.0585427550e+00
6.3250000000e+03	8.0201645958e+00	2.9989396280e+03	2.6604607810e-04	9.6039281850e-01
6.3250000000e+03	8.3975752952e+00	3.0424416170e+03	1.7794652999e-04	1.0857443350e+00
6.3250000000e+03	8.8936364618e+00	3.0865561160e+03	1.4950498918e-04	1.0528472900e+00
6.3300000000e+03	7.5255385367e+00	2.9562845560e+03	2.8951516664e-04	9.9630511850e-01
6.3300000000e+03	8.0225348116e+00	2.9992078545e+03	2.6252213339e-04	8.8819426100e-01
6.3300000000e+03	8.4001535539e+00	3.0433767640e+03	4.4643368037e-04	1.0804818950e+00
6.3300000000e+03	8.9012009614e+00	3.0868777190e+03	1.9777651057e-04	1.0969033100e+00
6.3350000000e+03	7.5284936184e+00	2.9566421215e+03	3.4526698300e-04	9.5300892850e-01
6.3350000000e+03	8.0230339641e+00	3.0000545040e+03	3.2583856970e-04	1.0311295700e+00
